Year,Race,Track,Driver,Team,LapNumber,Compound,TyreLife,TrackStatus,PracticeLapTimeDelta,QualifyingPosition
2021,Bahrain Grand Prix,Bahrain International Circuit,VER,Red Bull Racing,8.0,SOFT,2.0,1,1.0,1
2021,Bahrain Grand Prix,Bahrain International Circuit,HAM,Mercedes,8.0,SOFT,2.0,1,1.0026,2
2021,Bahrain Grand Prix,Bahrain International Circuit,BOT,Mercedes,8.0,SOFT,2.0,1,1.0041,3
2021,Bahrain Grand Prix,Bahrain International Circuit,LEC,Ferrari,8.0,SOFT,2.0,1,1.0084,4
2021,Bahrain Grand Prix,Bahrain International Circuit,GAS,AlphaTauri,8.0,SOFT,2.0,1,1.007,5
2021,Bahrain Grand Prix,Bahrain International Circuit,RIC,McLaren,9.0,SOFT,2.0,1,1.0042,6
2021,Bahrain Grand Prix,Bahrain International Circuit,NOR,McLaren,10.0,SOFT,2.0,1,1.001,7
2021,Bahrain Grand Prix,Bahrain International Circuit,SAI,Ferrari,8.0,SOFT,2.0,1,1.0031,8
2021,Bahrain Grand Prix,Bahrain International Circuit,ALO,Alpine,8.0,SOFT,2.0,1,1.0102,9
2021,Bahrain Grand Prix,Bahrain International Circuit,STR,Aston Martin,7.0,SOFT,2.0,1,1.006,10
2021,Bahrain Grand Prix,Bahrain International Circuit,PER,Red Bull Racing,8.0,SOFT,2.0,1,1.0072,11
2021,Bahrain Grand Prix,Bahrain International Circuit,GIO,Alfa Romeo,10.0,SOFT,2.0,1,1.0098,12
2021,Bahrain Grand Prix,Bahrain International Circuit,TSU,AlphaTauri,8.0,SOFT,2.0,1,1.0049,13
2021,Bahrain Grand Prix,Bahrain International Circuit,RAI,Alfa Romeo,8.0,SOFT,2.0,1,1.0112,14
2021,Bahrain Grand Prix,Bahrain International Circuit,OCO,Alpine,6.0,SOFT,2.0,1,1.0083,15
2021,Bahrain Grand Prix,Bahrain International Circuit,LAT,Williams,7.0,SOFT,2.0,1,1.0281,16
2021,Bahrain Grand Prix,Bahrain International Circuit,VET,Aston Martin,8.0,SOFT,2.0,1,1.0101,17
2021,Bahrain Grand Prix,Bahrain International Circuit,MSC,Haas F1 Team,9.0,SOFT,2.0,1,1.027,18
