Year,Race,Track,Driver,Team,LapNumber,Compound,TyreLife,TrackStatus,PracticeLapTimeDelta,QualifyingLapTimeDelta
2021,Bahrain Grand Prix,Bahrain International Circuit,RIC,McLaren,9.0,SOFT,2.0,1,1.0042,1.0104
2021,Bahrain Grand Prix,Bahrain International Circuit,RUS,Williams,7.0,SOFT,2.0,1,1.0163,1.0498
2021,Bahrain Grand Prix,Bahrain International Circuit,SAI,Ferrari,8.0,SOFT,2.0,1,1.0031,1.0137
2021,Bahrain Grand Prix,Bahrain International Circuit,MSC,Haas F1 Team,9.0,SOFT,2.0,1,1.027,1.0388
2021,Bahrain Grand Prix,Bahrain International Circuit,HAM,Mercedes,8.0,SOFT,2.0,1,1.0026,1.0044
2021,Bahrain Grand Prix,Bahrain International Circuit,VER,Red Bull Racing,8.0,SOFT,2.0,1,1.0,1.0
2021,Bahrain Grand Prix,Bahrain International Circuit,OCO,Alpine,6.0,SOFT,2.0,1,1.0083,1.0306
2021,Bahrain Grand Prix,Bahrain International Circuit,TSU,AlphaTauri,8.0,SOFT,2.0,1,1.0049,1.0248
2021,Bahrain Grand Prix,Bahrain International Circuit,STR,Aston Martin,7.0,SOFT,2.0,1,1.006,1.018
2021,Bahrain Grand Prix,Bahrain International Circuit,LEC,Ferrari,8.0,SOFT,2.0,1,1.0084,1.0077
2021,Bahrain Grand Prix,Bahrain International Circuit,ALO,Alpine,8.0,SOFT,2.0,1,1.0102,1.0141
2021,Bahrain Grand Prix,Bahrain International Circuit,PER,Red Bull Racing,8.0,SOFT,2.0,1,1.0072,1.0187
2021,Bahrain Grand Prix,Bahrain International Circuit,GAS,AlphaTauri,8.0,SOFT,2.0,1,1.007,1.0091
2021,Bahrain Grand Prix,Bahrain International Circuit,MAZ,Haas F1 Team,6.0,SOFT,2.0,1,1.0286,1.048
2021,Bahrain Grand Prix,Bahrain International Circuit,RAI,Alfa Romeo Racing,8.0,SOFT,2.0,1,1.0112,1.0252
2021,Bahrain Grand Prix,Bahrain International Circuit,LAT,Williams,7.0,SOFT,2.0,1,1.0281,1.033
2021,Bahrain Grand Prix,Bahrain International Circuit,VET,Aston Martin,8.0,SOFT,2.0,1,1.0101,1.0344
2021,Bahrain Grand Prix,Bahrain International Circuit,NOR,McLaren,10.0,SOFT,2.0,1,1.001,1.011
2021,Bahrain Grand Prix,Bahrain International Circuit,BOT,Mercedes,8.0,SOFT,2.0,1,1.0041,1.0066
2021,Bahrain Grand Prix,Bahrain International Circuit,GIO,Alfa Romeo Racing,10.0,SOFT,2.0,1,1.0098,1.0192
2021,Emilia Romagna Grand Prix,Imola Circuit,RIC,McLaren,8.0,MEDIUM,8.0,1,1.0229,1.0056
2021,Emilia Romagna Grand Prix,Imola Circuit,RUS,Williams,14.0,SOFT,8.0,1,1.0215,1.0114
2021,Emilia Romagna Grand Prix,Imola Circuit,SAI,Ferrari,10.0,SOFT,2.0,1,1.0037,1.0106
2021,Emilia Romagna Grand Prix,Imola Circuit,MSC,Haas F1 Team,18.0,SOFT,6.0,1,1.0238,1.0251
2021,Emilia Romagna Grand Prix,Imola Circuit,HAM,Mercedes,13.0,SOFT,4.0,1,1.0001,1.0
2021,Emilia Romagna Grand Prix,Imola Circuit,VER,Red Bull Racing,2.0,MEDIUM,2.0,1,1.0192,1.0012
2021,Emilia Romagna Grand Prix,Imola Circuit,OCO,Alpine,9.0,SOFT,2.0,1,1.0168,1.0107
2021,Emilia Romagna Grand Prix,Imola Circuit,TSU,AlphaTauri,11.0,SOFT,4.0,1,1.0115,
2021,Emilia Romagna Grand Prix,Imola Circuit,STR,Aston Martin,8.0,SOFT,2.0,1,1.0157,1.0103
2021,Emilia Romagna Grand Prix,Imola Circuit,LEC,Ferrari,11.0,SOFT,5.0,1,1.0109,1.0044
2021,Emilia Romagna Grand Prix,Imola Circuit,ALO,Alpine,11.0,SOFT,4.0,1,1.017,1.0159
2021,Emilia Romagna Grand Prix,Imola Circuit,PER,Red Bull Racing,12.0,SOFT,4.0,1,1.0114,1.0005
2021,Emilia Romagna Grand Prix,Imola Circuit,GAS,AlphaTauri,12.0,SOFT,4.0,1,1.001,1.0051
2021,Emilia Romagna Grand Prix,Imola Circuit,MAZ,Haas F1 Team,11.0,SOFT,7.0,1,1.0305,1.0321
2021,Emilia Romagna Grand Prix,Imola Circuit,RAI,Alfa Romeo Racing,12.0,SOFT,2.0,1,1.0228,1.021
2021,Emilia Romagna Grand Prix,Imola Circuit,LAT,Williams,10.0,SOFT,4.0,1,1.0168,1.0159
2021,Emilia Romagna Grand Prix,Imola Circuit,VET,Aston Martin,9.0,SOFT,2.0,1,1.0204,1.0132
2021,Emilia Romagna Grand Prix,Imola Circuit,NOR,McLaren,11.0,SOFT,2.0,1,1.0124,1.0062
2021,Emilia Romagna Grand Prix,Imola Circuit,BOT,Mercedes,8.0,MEDIUM,8.0,1,1.0,1.0065
2021,Emilia Romagna Grand Prix,Imola Circuit,GIO,Alfa Romeo Racing,10.0,SOFT,2.0,1,1.0127,1.023
2021,Portuguese Grand Prix,Algarve International Circuit,RIC,McLaren,16.0,SOFT,4.0,1,1.0073,1.019
2021,Portuguese Grand Prix,Algarve International Circuit,RUS,Williams,14.0,SOFT,5.0,1,1.0143,1.0097
2021,Portuguese Grand Prix,Algarve International Circuit,SAI,Ferrari,11.0,SOFT,3.0,1,1.0045,1.0088
2021,Portuguese Grand Prix,Algarve International Circuit,MSC,Haas F1 Team,11.0,SOFT,3.0,1,1.0213,1.0269
2021,Portuguese Grand Prix,Algarve International Circuit,HAM,Mercedes,10.0,SOFT,3.0,1,1.0,1.0001
2021,Portuguese Grand Prix,Algarve International Circuit,VER,Red Bull Racing,11.0,SOFT,2.0,1,1.0018,1.0051
2021,Portuguese Grand Prix,Algarve International Circuit,OCO,Alpine,12.0,SOFT,5.0,1,1.005,1.0089
2021,Portuguese Grand Prix,Algarve International Circuit,TSU,AlphaTauri,17.0,SOFT,7.0,1,1.0152,1.0142
2021,Portuguese Grand Prix,Algarve International Circuit,STR,Aston Martin,9.0,SOFT,2.0,1,1.0074,1.02
2021,Portuguese Grand Prix,Algarve International Circuit,LEC,Ferrari,12.0,SOFT,3.0,1,1.0066,1.0122
